general_id	dating_typology_start	dating_typology_end	find_area	typology_class_1	typology_class_2	typology_class_3	typology_class_4	orientation
OLY80 - Br9769	-699	-600	Temple of Hera	Waffe	Arrow head	Dornpfeilspitze	IA1	(Missing)
OLY77 - Berlin Ol792	-699	-600	Temple of Zeus	Waffe	Arrow head	Dornpfeilspitze	IA1	(Missing)
OLY80 - Br8410	-699	-600	Pelopion	Waffe	Arrow head	Dornpfeilspitze	IA2	(Missing)
OLY80 - Br9608	-699	-600	Temple of Hera	Waffe	Arrow head	Dornpfeilspitze	IA2	(Missing)
OLY63 - B7228	-699	-600	South-East Area	Waffe	Arrow head	Dornpfeilspitze	IA2	(Missing)
OLY63 - B7356	-699	-600	South-East Area	Waffe	Arrow head	Dornpfeilspitze	IA2	(Missing)
OLY59 - B9168	-699	-600	Stadium (North)	Waffe	Arrow head	Dornpfeilspitze	IA2	(Missing)
OLY79 - Br5517	-499	-475	Echo Stoa	Waffe	Arrow head	Dornpfeilspitze	IA3a	(Missing)
OLY80 - Br12593	-499	-475	Palaestra	Waffe	Arrow head	Dornpfeilspitze	IA3a	(Missing)
OLY82 - Br14250	-499	-475	Kladeos	Waffe	Arrow head	Dornpfeilspitze	IA3a	(Missing)
OLY80 - Br11593 / Kur433 / M911	-499	-475	Echo Stoa	Waffe	Arrow head	Dornpfeilspitze	IA3b	(Missing)
OLY40 - B1562	-499	-475	Stadium (South)	Waffe	Arrow head	Dornpfeilspitze	IA3b	(Missing)
OLY64 - B6988	-499	-475	South-East Area	Waffe	Arrow head	Dornpfeilspitze	IA3b	(Missing)
OLY80 - Br8669 / Berlin Ol8669	-499	-475	Stadium (North)	Waffe	Arrow head	Dornpfeilspitze	IA3b	(Missing)
OLY79 - Br7201 / Berlin Ol7201	-549	-475	Pelopion	Waffe	Arrow head	Dornpfeilspitze	IA5a	(Missing)
OLY79 - Br7645	-549	-475	South-West Area	Waffe	Arrow head	Dornpfeilspitze	IA5a	(Missing)
OLY56 - B3725	-549	-475	Leonidaion	Waffe	Arrow head	Dornpfeilspitze	IA5a	(Missing)
OLY91 - B12073	-549	-475	North Area	Waffe	Arrow head	Dornpfeilspitze	IA5a	(Missing)
OLY63 - B7265	-549	-475	South-East Area	Waffe	Arrow head	Dornpfeilspitze	IA5a	(Missing)
OLY79 - Br5557	-549	-475	Bouleuterion	Waffe	Arrow head	Dornpfeilspitze	IA5a	(Missing)
OLY82 - Br14336	-549	-475	Kladeos	Waffe	Arrow head	Dornpfeilspitze	IA5b	(Missing)
OLY78 - Br3226	-549	-475	Palaestra	Waffe	Arrow head	Dornpfeilspitze	IA5b	(Missing)
OLY39 - B1046	-549	-450	Stadium (South)	Waffe	Arrow head	Dornpfeilspitze	IA6	(Missing)
OLY77 - E945	-549	-450	Echo Stoa	Waffe	Arrow head	Dornpfeilspitze	IA6	(Missing)
OLY78 - E947	-549	-450	South-East Area	Waffe	Arrow head	Dornpfeilspitze	IA6	(Missing)
OLY79 - B10695	-549	-350	South-East Area	Waffe	Arrow head	Dornpfeilspitze	IB	(Missing)
OLY79 - Kur440 / Br4754	-549	-350	Prytaneion	Waffe	Arrow head	Dornpfeilspitze	IB	(Missing)
OLY60 - E848	-549	-350	Stadium (North)	Waffe	Arrow head	Dornpfeilspitze	IB	(Missing)
OLY60 - E849	-549	-350	Stadium (North)	Waffe	Arrow head	Dornpfeilspitze	IB	(Missing)
OLY78 - E1085	-549	-350	South-East Area	Waffe	Arrow head	Dornpfeilspitze	IB	(Missing)
OLY80 - Br11631 / Kur438	-599	-475	Pelopion	Waffe	Arrow head	Tullenpfeilspitze	IIA1a	(Missing)
OLY65 - B7523	-599	-475	South-East Area	Waffe	Arrow head	Tullenpfeilspitze	IIA1a	(Missing)
OLY78 - Br4176	-599	-475	Philippeion	Waffe	Arrow head	Tullenpfeilspitze	IIA1a	(Missing)
OLY40 - B1776	-599	-475	Stadium (South)	Waffe	Arrow head	Tullenpfeilspitze	IIA1b	(Missing)
OLY40 - B1703	-599	-475	Stadium	Waffe	Arrow head	Tullenpfeilspitze	IIA1b	(Missing)
OLY78 - Br3890	-599	-475	Prytaneion	Waffe	Arrow head	Tullenpfeilspitze	IIA1c	(Missing)
OLY79 - Br7841	-599	-475	Palaestra	Waffe	Arrow head	Tullenpfeilspitze	IIA1c	(Missing)
OLY39 - B1045	-599	-475	Stadium (West)	Waffe	Arrow head	Tullenpfeilspitze	IIA1c	(Missing)
OLY60 - B4929	-599	-475	Stadium (North)	Waffe	Arrow head	Tullenpfeilspitze	IIA1c	(Missing)
OLY40 - B1970	-599	-475	Stadium (South)	Waffe	Arrow head	Tullenpfeilspitze	IIA1c	(Missing)
OLY82 - Br14254	-599	-475	Kladeos	Waffe	Arrow head	Tullenpfeilspitze	IIA1c	(Missing)
OLY39 - B3730b	-599	-475	Stadium (West)	Waffe	Arrow head	Tullenpfeilspitze	IIA1c	(Missing)
OLY86 - Br246	-649	-500	Kladeos	Waffe	Arrow head	Tullenpfeilspitze	IIA2a	(Missing)
OLY79 - Br4967	-649	-500	Echo Stoa	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY78 - Br3317	-649	-500	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY52 - B8231	-649	-500	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY60 - B4857	-649	-500	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY80 - Br12180	-649	-500	Palaestra	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY59 - B4495	-649	-500	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY60 - B4521	-649	-500	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY77 - Br1004	-649	-500	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY79 - Br7408	-649	-500	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY79 - Br7212	-649	-500	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY62 - B7212	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY76 - Br575	-649	-500	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY78 - B10213	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY38 - B453	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY79 - B10427	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY58 - B4077	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY77 - Br1189	-649	-500	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY38 - B362	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY40 - B1968c	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY56 - B3724	-649	-500	Pheidias' workshop	Waffe	Arrow head	Tüllenpfeilspitze	IIA2a	(Missing)
OLY38 - B224	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY40 - B1775	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY79 - Br5031 / Kur429	-649	-500	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY60 - B12472	-649	-500	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY63 - B5435	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY41 - B2326	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY79 - Br4810	-649	-500	Prytaneion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY39 - B3731a	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY78 - Br3350	-649	-500	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY77 - Br1049	-649	-500	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY79 - Br4501	-649	-500	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY79 - Br7924	-649	-500	Metroon	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY80 - B10472	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY39 - B1044	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY40 - B1968a	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY37 - B319	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY60 - B4936	-649	-500	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY39 - B1043	-649	-500	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY39 - B3730a	-649	-500	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY80 - Br9981	-649	-500	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY80 - Br11837 / Berlin Ol11837	-649	-500	Gymnasion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY17 - Br2633	-649	-500	Philippeion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY79 - Br7033	-649	-500	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY40 - B8972	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY65 - B7529	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY42 - B2570	-649	-500	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY68 - B9159	-649	-500	Philippeion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY40 - B8970	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY56 - B3727	-649	-500	Pheidias' workshop	Waffe	Arrow head	Tüllenpfeilspitze	IIA2b	(Missing)
OLY40 - B1968a	-599	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA	(Missing)
OLY40 - B1968b	-599	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA	(Missing)
OLY38 - B918	-599	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA	(Missing)
OLY82 - B14238	-599	-500	Kladeos	Waffe	Arrow head	Tüllenpfeilspitze	IIA	(Missing)
OLY77 - Br1511?	-599	-500	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIA	(Missing)
OLY60 - B4865	-599	-500	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA	(Missing)
OLY80 - Br9121	-649	-500	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY77 - Br2045	-649	-500	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY79 - Br5382	-649	-500	South-West Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY37 - B320	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY37 - B12466	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY79 - Br7158	-649	-500	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY40 - B8971	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY64 - B7020	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY40 - B8974	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY40 - B1968b	-649	-500	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2c	(Missing)
OLY80 - Br9434	-649	-500	Echo Stoa	Waffe	Arrow head	Tüllenpfeilspitze	IIA2d	(Missing)
OLY65 - B6367	-649	-500	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA2d	(Missing)
OLY40 - B8969	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2d	(Missing)
OLY60 - B4610	-649	-500	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA2d	(Missing)
OLY58 - B4138	-649	-500	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA2d	(Missing)
OLY79 - Br4916	-599	-450	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY37 - B12467	-599	-450	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY42 - B8752	-599	-450	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY80 - Br12191 / Berlin Ol 12191	-599	-450	Prytaneion	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY78 - Br4045	-599	-450	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY79 - Br5556	-599	-450	Bouleuterion	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY77 - Br946c	-599	-450	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY79 - Br5555	-599	-450	Bouleuterion	Waffe	Arrow head	Tüllenpfeilspitze	IIA3a	(Missing)
OLY80 - Br12411	-599	-450	Palaestra	Waffe	Arrow head	Tüllenpfeilspitze	IIA3b	(Missing)
OLY60 - B4704	-599	-450	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIA3b	(Missing)
OLY41 - B8753	-599	-450	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIA3b	(Missing)
OLY82 - Br14249	-599	-450	Kladeos	Waffe	Arrow head	Tüllenpfeilspitze	IIA3c	(Missing)
OLY40 - B2011	-599	-450	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIA3c	(Missing)
OLY76 - Br339	-599	-450	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA3d	(Missing)
OLY79 - B10982	-599	-450	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA3d	(Missing)
OLY81 - Br14165	-599	-450	Kladeos	Waffe	Arrow head	Tüllenpfeilspitze	IIA4	(Missing)
OLY77 - Br890	-599	-450	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIA4	(Missing)
OLY56 - B8012	-599	-450	Pheidias' workshop	Waffe	Arrow head	Tüllenpfeilspitze	IIA4	(Missing)
OLY79 - Br7066	-599	-450	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIA4	(Missing)
OLY82 - Br14261	-599	-450	Kladeos	Waffe	Arrow head	Tüllenpfeilspitze	IIA4	(Missing)
OLY63 - B7453	-599	-450	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIA4	(Missing)
OLY41 - B7713	-599	-450	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIA4	(Missing)
OLY38 - B361	-549	-450	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY78 - Br3431	-549	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY78 - Br3126	-549	-350	Palaestra	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY85 - B11523	-549	-350	South-West Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY60 - B4875	-549	-350	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY39 - B1027	-449	-350	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY77 - Br1425	-449	-350	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY77 - Br1276	-449	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY76 - Br767	-449	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY79 - Br5394	-449	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY79 - Br5749	-449	-350	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br9410	-449	-350	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY76 - Br247	-449	-350	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br12880	-449	-350	Prytaneion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY60 - B9167	-449	-350	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY85 - Inv. 1884, Br223	-449	-350	Kladeos	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY39 - B1028	-449	-350	Bouleuterion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY87 - B11740	-449	-350	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br11956	-449	-350	Leonidaion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br11815	-449	-350	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY78 - B9875	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY77 - Br1368	-449	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY78 - B10949	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY59 - B4388	-449	-350	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY63 - B5447	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY38 - B729	-449	-350	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY79 - B10500	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY64 - B7035	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY40 - B2156	-449	-350	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY38 - B842	-449	-350	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY78 - B11184	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY75 - Br59	-449	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br11447	-449	-350	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY79 - B10932	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY79 - Br4947	-449	-350	Prytaneion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY63 - B7317	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY39 - B1029	-449	-350	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY79 - Br4917	-449	-350	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY77 - Br2200	-449	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY59 - B9160	-449	-350	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br8740	-449	-350	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY75 - B9345	-449	-350	Echo Stoa	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br12047	-449	-350	Gymnasion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY80 - Br9355	-449	-350	Pelopion	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY37 - B12468	-449	-350	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY79 - Br7113	-449	-350	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY78 - Br3843	-449	-350	South-West Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY37 - B12469	-449	-350	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB1	(Missing)
OLY60 - B5067	-499	-400	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY64 - B7064	-499	-400	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY52 - B9312	-499	-400	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY78 - Br4291	-499	-400	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY80 - Br9020	-499	-400	Echo Stoa	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY60 - B4486	-499	-400	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY64 - B6532	-499	-400	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY39 - B1033	-499	-400	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY39 - B3731b	-499	-400	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY80 - Br9083	-499	-400	Echo Stoa	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY80 - Br3349	-499	-400	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY59 - B4400	-499	-400	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY59 - B4454	-499	-400	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY - B8773	-499	-300	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY38 - B225	-499	-300	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY60 - B8746	-499	-300	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY38 - B919	-499	-300	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2a	(Missing)
OLY42 - B8751	-499	-300	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY78 - Br3981	-499	-300	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY63 - B5458	-499	-300	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY42 - B3723	-499	-300	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY78 - Br3171	-499	-300	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY78 - Br4339	-499	-300	Prytaneion	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY42 - B8750	-499	-300	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY79 - Br6097 / Kur428	-499	-300	Metroon	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY38 - B1031	-499	-300	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY53 - B3945	-499	-300	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB2b	(Missing)
OLY54 - B3052	-499	-300	Echo Stoa	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY79 - Br5978	-499	-300	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY59 - B9165	-499	-300	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY63 - B7286	-499	-300	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY86 - B11947	-499	-300	Prytaneion	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY59 - B8736	-499	-300	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY55 - B9164	-499	-300	Pheidias' workshop	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY63 - B6848	-499	-300	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY78 - B10170	-499	-300	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY40 - B1969b	-499	-300	Stadium (South)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY60 - B5009	-499	-300	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY79 - Br7057	-499	-300	Temple of Hera	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY59 - B8248	-499	-300	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2c	(Missing)
OLY78 - Br3982	-499	-300	Temple of Zeus	Waffe	Arrow head	Tüllenpfeilspitze	IIB2d	(Missing)
OLY40 - B1971	-499	-300	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB2d	(Missing)
OLY79 - B10375	-499	-300	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2d	(Missing)
OLY60 - B9319	-499	-300	Stadium (North)	Waffe	Arrow head	Tüllenpfeilspitze	IIB2d	(Missing)
OLY52 - B2383	-499	-300	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB2d	(Missing)
OLY82 - Br14331	-499	-300	Kladeos	Waffe	Arrow head	Tüllenpfeilspitze	IIB2d	(Missing)
OLY79 - B11321	-499	-300	South-East Area	Waffe	Arrow head	Tüllenpfeilspitze	IIB2d	(Missing)
OLY40 - B1673	-549	-400	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB3a	(Missing)
OLY42 - B7927	-549	-400	Stadium (West)	Waffe	Arrow head	Tüllenpfeilspitze	IIB3a	(Missing)
OLY78 - Br2555	-549	-400	Palaestra	Waffe	Arrow head	Tüllenpfeilspitze	IIB3a	(Missing)
OLY86 - Br245	-549	-400	Kladeos	Waffe	Arrow head	Tüllenpfeilspitze	IIB3a	(Missing)
OLY80 - Br13162	-549	-400	Stadium	Waffe	Arrow head	Tüllenpfeilspitze	IIB3a	(Missing)
OLY80 - Br12430	-549	-400	Bouleuterion	Waffe	Arrow head	Tüllenpfeilspitze	IIB3a	(Missing)
